brand,model,style,accel,top_speed,range,charge_rate,price
SEAT,Mii Electric,Hatchback,12.3,130.0,195.0,170.0,20129
Smart,EQ fortwo coupe,Hatchback,11.6,130.0,100.0,,21387
Volkswagen,e-Up!,hatchback,11.9,130.0,195.0,170.0,21421
Smart,EQ forfour,hatchback,12.7,130.0,95.0,,22030
Skoda,CITIGOe iV,Hatchback,12.3,130.0,195.0,170.0,24534
Smart,EQ fortwo cabrio,Cabrio,11.9,130.0,95.0,,24565
Renault,Twingo ZE,Hatchback,12.6,135.0,130.0,,24790
Sono,Sion,Hatchback,9.0,140.0,225.0,270.0,25500
Opel,Corsa-e,hatchback,8.1,150.0,275.0,420.0,29146
Opel,Corsa-e,hatchback,8.1,150.0,275.0,420.0,29146
Nissan,Leaf,Hatchback,7.9,144.0,220.0,230.0,29234
Renault,Zoe ZE40 R110,hatchback,11.4,135.0,255.0,230.0,29234
Peugeot,e-208,Hatchback,8.1,150.0,275.0,420.0,29682
Volkswagen,ID.3 Pure,hatchback,10.0,160.0,270.0,250.0,30000
MG,ZS EV,SUV,8.2,140.0,220.0,260.0,30000
Renault,Zoe ZE50 R110,Hatchback,11.4,135.0,315.0,230.0,31184
Mini,Cooper SE,Hatchback,7.3,150.0,185.0,260.0,31681
Volkswagen,e-Golf,hatchback,9.6,150.0,190.0,220.0,31900
Mazda,MX-30,suv,9.0,150.0,180.0,240.0,32646
Honda,e,hatchback,,145.0,170.0,190.0,32997
Volkswagen,ID.3 Pro,Hatchback,9.0,160.0,350.0,490.0,33000
Renault,Zoe ZE50 R135,Hatchback,9.5,140.0,310.0,230.0,33133
Kia,e-Soul 39 kWh,suv,9.9,157.0,230.0,220.0,33133
Nissan,e-NV200 Evalia,spv,14.0,123.0,190.0,190.0,33246
Hyundai,Kona Electric 39 kWh,SUV,9.9,155.0,255.0,210.0,33971
Peugeot,e-2008 SUV,suv,8.5,150.0,250.0,380.0,34361
Kia,e-Niro 39 kWh,suv,9.8,155.0,235.0,230.0,34400
Hyundai,IONIQ Electric,Liftback,9.7,165.0,250.0,210.0,34459
Fiat,500e Hatchback,Hatchback,9.0,150.0,250.0,330.0,34900
Skoda,Enyaq iV 50,SUV,10.0,160.0,290.0,230.0,35000
