date,title,artist,streams,year
2017-01-01,Starboy,"The Weeknd, Daft Punk",3135625,2017
2017-01-02,Starboy,"The Weeknd, Daft Punk",,2017
2017-01-03,Starboy,"The Weeknd, Daft Punk",3563076,2017
2017-01-04,Starboy,"The Weeknd, Daft Punk",3619247,2017
2017-01-05,Starboy,"The Weeknd, Daft Punk",3579206,2017
2017-01-06,Shape of You,Ed Sheeran,6151345,2017
2017-01-07,Shape of You,Ed Sheeran,6602494,2017
2017-01-07,Shape of You,Ed Sheeran,6602494,2017
2017-01-08,Shape of You,Ed Sheeran,6557531,2017
2017-01-09,Shape of You,Ed Sheeran,7261007,2017
2017-01-10,Shape of You,Ed Sheeran,7145757,2017
2017-01-11,Shape of You,Ed Sheeran,7193934,2017
2017-01-12,Shape of You,Ed Sheeran,7081620,2017
2017-01-13,Shape of You,Ed Sheeran,7275946,2017
2017-01-14,Shape of You,Ed Sheeran,7093868,2017
2017-01-15,Shape of You,Ed Sheeran,6451891,2017
2017-01-16,Shape of You,Ed Sheeran,7071702,2017
2017-01-17,Shape of You,Ed Sheeran,7086602,2017
2017-01-18,Shape of You,Ed Sheeran,7153915,2017
2017-01-19,Shape of You,Ed Sheeran,7133303,2017
2017-01-20,Shape of You,Ed Sheeran,7299280,2017
2017-01-21,Shape of You,Ed Sheeran,7057075,2017
2017-01-22,Shape of You,Ed Sheeran,6423764,2017
2017-01-23,Shape of You,Ed Sheeran,7058537,2017
2017-01-24,Shape of You,Ed Sheeran,7169081,2017
2017-01-25,Shape of You,Ed Sheeran,7259975,2017
2017-01-26,Shape of You,Ed Sheeran,7398092,2017
2017-01-27,Shape of You,Ed Sheeran,7765131,2017
2017-01-28,Shape of You,Ed Sheeran,7423086,2017
2017-01-29,Shape of You,Ed Sheeran,6539160,2017
2017-01-30,Shape of You,Ed Sheeran,7122914,2017
2017-01-31,Shape of You,Ed Sheeran,7419406,2017
2017-02-01,Shape of You,Ed Sheeran,7549041,2017
2017-02-02,Shape of You,Ed Sheeran,7602214,2017
2017-02-03,Shape of You,Ed Sheeran,7881255,2017
2017-02-04,Shape of You,Ed Sheeran,7740851,2017
2017-02-05,Shape of You,Ed Sheeran,6968082,2017
2017-02-06,Shape of You,Ed Sheeran,7138916,2017
2017-02-07,Shape of You,Ed Sheeran,7458487,2017
2017-02-08,Shape of You,Ed Sheeran,7557934,2017
2017-02-09,Shape of You,Ed Sheeran,7473863,2017
2017-02-10,Shape of You,Ed Sheeran,7783927,2017
2017-02-11,Shape of You,Ed Sheeran,7714323,2017
2017-02-12,Shape of You,Ed Sheeran,6845116,2017
2017-02-13,Shape of You,Ed Sheeran,7344569,2017
2017-02-14,Shape of You,Ed Sheeran,7511927,2017
2017-02-15,Shape of You,Ed Sheeran,7558862,2017
2017-02-16,Shape of You,Ed Sheeran,7573141,2017
2017-02-17,Shape of You,Ed Sheeran,7985803,2017
2017-02-18,Shape of You,Ed Sheeran,7855366,2017
2017-02-19,Shape of You,Ed Sheeran,6879577,2017
2017-02-20,Shape of You,Ed Sheeran,7193281,2017
2017-02-21,Shape of You,Ed Sheeran,7266474,2017
2017-02-22,Shape of You,Ed Sheeran,7317633,2017
2017-02-24,Shape of You,Ed Sheeran,7758898,2017
2017-02-25,Shape of You,Ed Sheeran,7632460,2017
2017-02-26,Shape of You,Ed Sheeran,6583478,2017
2017-02-27,Shape of You,Ed Sheeran,6873096,2017
2017-02-28,Shape of You,Ed Sheeran,7059172,2017
2017-03-01,Shape of You,Ed Sheeran,7201132,2017
2017-03-02,Shape of You,Ed Sheeran,7326148,2017
2017-03-03,Shape of You,Ed Sheeran,9891056,2017
2017-03-04,Shape of You,Ed Sheeran,9603434,2017
2017-03-05,Shape of You,Ed Sheeran,8454962,2017
2017-03-06,Shape of You,Ed Sheeran,8937106,2017
2017-03-07,Shape of You,Ed Sheeran,8900049,2017
2017-03-08,Shape of You,Ed Sheeran,8738426,2017
2017-03-09,Shape of You,Ed Sheeran,8695555,2017
2017-03-10,Shape of You,Ed Sheeran,8849461,2017
2017-03-11,Shape of You,Ed Sheeran,8664792,2017
2017-03-12,Shape of You,Ed Sheeran,7642879,2017
2017-03-13,Shape of You,Ed Sheeran,7855284,2017
2017-03-14,Shape of You,Ed Sheeran,7721959,2017
2017-03-15,Shape of You,Ed Sheeran,7704578,2017
2017-03-16,Shape of You,Ed Sheeran,7668500,2017
2017-03-17,Shape of You,Ed Sheeran,7889417,2017
2017-03-18,Shape of You,Ed Sheeran,7765409,2017
2017-03-19,Shape of You,Ed Sheeran,6791017,2017
2017-03-20,Shape of You,Ed Sheeran,6990435,2017
2017-03-21,Shape of You,Ed Sheeran,7049619,2017
2017-03-22,Shape of You,Ed Sheeran,7063984,2017
2017-03-23,Shape of You,Ed Sheeran,7042985,2017
2017-03-24,Shape of You,Ed Sheeran,7376172,2017
2017-03-25,Shape of You,Ed Sheeran,7429090,2017
2017-03-26,Shape of You,Ed Sheeran,6393509,2017
2017-03-27,Shape of You,Ed Sheeran,6668249,2017
2017-03-28,Shape of You,Ed Sheeran,6681485,2017
2017-03-29,Shape of You,Ed Sheeran,6670212,2017
2017-03-30,Shape of You,Ed Sheeran,6645957,2017
2017-03-31,Shape of You,Ed Sheeran,6935206,2017
2017-04-01,Shape of You,Ed Sheeran,6815498,2017
2017-04-02,Shape of You,Ed Sheeran,5983149,2017
2017-04-03,Shape of You,Ed Sheeran,6155248,2017
2017-04-04,Shape of You,Ed Sheeran,6184460,2017
2017-04-05,Shape of You,Ed Sheeran,6142684,2017
2017-04-06,Shape of You,Ed Sheeran,6121652,2017
2017-04-07,Shape of You,Ed Sheeran,6527529,2017
2017-04-08,Shape of You,Ed Sheeran,6413787,2017
2017-04-09,Shape of You,Ed Sheeran,5651069,2017
2017-04-10,Shape of You,Ed Sheeran,5915537,2017
2017-04-11,Shape of You,Ed Sheeran,5874544,2017
2017-04-12,Shape of You,Ed Sheeran,5864254,2017
2017-04-13,Shape of You,Ed Sheeran,5985290,2017
2017-04-14,HUMBLE.,Kendrick Lamar,6577558,2017
2017-04-15,HUMBLE.,Kendrick Lamar,,2017
2017-04-16,HUMBLE.,Kendrick Lamar,5023778,2017
2017-04-17,HUMBLE.,Kendrick Lamar,5654803,2017
2017-04-18,HUMBLE.,Kendrick Lamar,5987712,2017
2017-04-19,HUMBLE.,Kendrick Lamar,5824010,2017
2017-04-20,HUMBLE.,Kendrick Lamar,5594536,2017
2017-04-21,Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",5927608,2017
2017-04-22,,"Luis Fonsi, Daddy Yankee, Justin Bieber",5727933,2017
2017-04-23,Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",5137949,2017
2017-04-24,Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",5837415,2017
2017-04-25,Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",6096586,2017
2017-04-26,Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",6214069,2017
2017-04-27,Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",6229728,2017
2017-04-28,Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",6851114,2017
2017-04-29,Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",6888677,2017
2017-04-30,Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",6312331,2017
